"basic","image","pid","parameter","display_pid","maintenance"
"{""color"":""Flower color red, pink, yellow, white"",""floral_language"":""Dahia pinnata\nFloriography: generous, wealthy, graceful\nDahlia pinnate is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia pinnate prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""production"":""China"",""origin"":""Mexico"",""category"":""Compositae, Dahlia"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGFoaWEgcGlubmF0YS5qcGc=?imageView2/1/w/%d/h/%d","dahia pinnata","{""max_temp"":35,""min_temp"":5,""min_soil_moist"":7,""max_light_lux"":35000,""max_soil_moist"":60,""min_light_mmol"":2700,""min_env_humid"":15,""min_light_lux"":3000,""max_env_humid"":80,""min_soil_ec"":350,""max_soil_ec"":2000,""max_light_mmol"":5400}","Dahia pinnata","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""watering"":""Water thoroughly when soil is dry"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn""}"
"{""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""production"":""China"",""origin"":""Mexico"",""color"":""Flower color rose red"",""category"":""Compositae, Dahlia""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdiZXJtdWRhIGJlYWNoJy5qcGc=?imageView2/1/w/%d/h/%d","dahlia 'bermuda beach'","{""max_light_lux"":35000,""max_temp"":35,""min_env_humid"":15,""min_light_lux"":3000,""max_env_humid"":80,""min_temp"":5,""max_soil_ec"":2000,""max_light_mmol"":5400,""min_soil_ec"":350,""min_light_mmol"":2700,""max_soil_moist"":60,""min_soil_moist"":7}","Dahlia 'Bermuda Beach'","{""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""watering"":""Water thoroughly when soil is dry"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""color"":""Flower color pink"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""category"":""Compositae, Dahlia"",""production"":""China"",""origin"":""Mexico""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdjb3JvbmEgYmVhY2gnLmpwZw==?imageView2/1/w/%d/h/%d","dahlia 'corona beach'","{""max_soil_moist"":60,""max_light_mmol"":5400,""max_env_humid"":80,""max_light_lux"":35000,""min_light_lux"":3000,""min_light_mmol"":2700,""max_soil_ec"":2000,""min_soil_ec"":350,""max_temp"":35,""min_soil_moist"":7,""min_env_humid"":15,""min_temp"":5}","Dahlia 'Corona Beach'","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Water thoroughly when soil is dry"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm""}"
"{""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""color"":""Flower color white"",""category"":""Compositae, Dahlia"",""production"":""China"",""origin"":""Mexico"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing.""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdsYWd1bmEgYmVhY2gnLmpwZw==?imageView2/1/w/%d/h/%d","dahlia 'laguna beach'","{""min_light_mmol"":2700,""min_env_humid"":15,""max_soil_ec"":2000,""min_soil_ec"":350,""max_soil_moist"":60,""max_temp"":35,""max_light_mmol"":5400,""min_temp"":5,""max_light_lux"":35000,""max_env_humid"":80,""min_light_lux"":3000,""min_soil_moist"":7}","Dahlia 'Laguna Beach'","{""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""watering"":""Water thoroughly when soil is dry"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""production"":""China"",""color"":""Flower color red"",""origin"":""Mexico"",""category"":""Compositae, Dahlia"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing.""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdsb3ZlciBiZWFjaCcuanBn?imageView2/1/w/%d/h/%d","dahlia 'lover beach'","{""max_temp"":35,""max_light_lux"":35000,""min_light_mmol"":2700,""min_env_humid"":15,""max_env_humid"":80,""max_soil_moist"":60,""max_light_mmol"":5400,""min_soil_ec"":350,""min_soil_moist"":7,""min_light_lux"":3000,""min_temp"":5,""max_soil_ec"":2000}","Dahlia 'Lover Beach'","{""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""soil"":""Peat or soil with specific nutrients"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""watering"":""Water thoroughly when soil is dry"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn""}"
"{""category"":""Compositae, Dahlia"",""color"":""Flower color orange"",""origin"":""Mexico"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""production"":""China"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdwYWxtIGJlYWNoJy5qcGc=?imageView2/1/w/%d/h/%d","dahlia 'palm beach'","{""min_soil_ec"":350,""min_soil_moist"":7,""max_light_mmol"":5400,""max_soil_ec"":2000,""max_env_humid"":80,""min_env_humid"":15,""max_temp"":35,""min_light_lux"":3000,""max_soil_moist"":60,""min_temp"":5,""min_light_mmol"":2700,""max_light_lux"":35000}","Dahlia 'Palm Beach'","{""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""watering"":""Water thoroughly when soil is dry"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn""}"
"{""category"":""Compositae, Dahlia"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""production"":""China"",""color"":""Flower color yellow"",""origin"":""Mexico""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICdwZWJibGUgYmVhY2gnLmpwZw==?imageView2/1/w/%d/h/%d","dahlia 'pebble beach'","{""min_light_lux"":3000,""max_temp"":35,""min_light_mmol"":2700,""max_soil_ec"":2000,""max_env_humid"":80,""max_soil_moist"":60,""max_light_lux"":35000,""min_temp"":5,""min_soil_moist"":7,""min_soil_ec"":350,""max_light_mmol"":5400,""min_env_humid"":15}","Dahlia 'Pebble Beach'","{""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""watering"":""Water thoroughly when soil is dry""}"
"{""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""color"":""Flower color orange"",""category"":""Compositae, Dahlia"",""production"":""China"",""origin"":""Mexico"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhICd3YWlraWtpIGJlYWNoJy5qcGc=?imageView2/1/w/%d/h/%d","dahlia 'waikiki beach'","{""max_soil_moist"":60,""max_soil_ec"":2000,""min_soil_moist"":7,""max_temp"":35,""max_env_humid"":80,""min_env_humid"":15,""max_light_lux"":35000,""min_temp"":5,""min_light_lux"":3000,""min_light_mmol"":2700,""max_light_mmol"":5400,""min_soil_ec"":350}","Dahlia 'Waikiki Beach'","{""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn"",""pruning"":""Remove withered flowers, old,  diseased, and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""watering"":""Water thoroughly when soil is dry"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade""}"
"{""production"":""China"",""blooming"":""Flowering period June-December, viewing period 2-3 weeks"",""color"":""Flower color red, pink, yellow, white"",""floral_language"":""Dahlia spp.\nFloriography: generous, wealthy, graceful\nDahlia spp. is graceful and luxurious, revered as the national flower of Mexico, also the official flower of Zhangjiakou City in China.\nThe flowers have graceful forms with various patterns, such as crab-shape, claw-shape, spherical, conical, ball-shape, etc. Flower sizes vary from 3cm to 30cm, petals closely and neatly arranged. Commonly used in flower beds or home.\nDahlia spp. prefers sunny spaces, but avoid direct strong sunlight. Flowering from June to November for 2-3 weeks viewing."",""category"":""Compositae, Dahlia"",""origin"":""Mexico""}","http://pkb.resource.huahuacaocao.com/ZGFobGlhIHNwcC4uanBn?imageView2/1/w/%d/h/%d","dahlia spp.","{""max_soil_moist"":60,""max_light_lux"":35000,""min_soil_ec"":350,""max_temp"":35,""max_soil_ec"":2000,""min_soil_moist"":7,""max_light_mmol"":5400,""max_env_humid"":80,""min_temp"":5,""min_light_mmol"":2700,""min_env_humid"":15,""min_light_lux"":3000}","Dahlia spp.","{""watering"":""Water thoroughly when soil is dry"",""size"":""Diameter ≥ 10 cm, height ≥ 30 cm"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes sunshine, avoid direct strong light, resistant to half shade"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply once every 10-15 days in spring and autumn""}"
"{""origin"":""India"",""color"":""Flower color purple, pink, white"",""blooming"":""Flowering period May-September, viewing period 2-3 weeks"",""floral_language"":""Datura innoxia \nFloriography: wise, graceful, fortunate\nDatura innoxia has funnel-shaped flowers, like morning glory.\nStout upright stems and broadly ovate leaves with wavy and toothed edges, huge flowers, funnel-shaped or trumpet-shaped in rich colors such as blue, purple, white, pink, etc. Datura innoxia has medical values, but may be fatally toxic.\nDatura innoxia likes adequate sunlight. Flowering from May to September for 2-3 weeks."",""category"":""Solanaceae, Datura"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/ZGF0dXJhIGlubm94aWEuanBn?imageView2/1/w/%d/h/%d","datura innoxia","{""min_soil_ec"":350,""max_light_lux"":60000,""min_temp"":5,""max_soil_ec"":2000,""max_light_mmol"":6000,""min_env_humid"":30,""max_env_humid"":80,""min_soil_moist"":15,""max_soil_moist"":60,""min_light_lux"":3000,""max_temp"":35,""min_light_mmol"":4000}","Datura innoxia","{""pruning"":""Remove old, diseased and dead leaves timely"",""sunlight"":""Likes sunshine, put in sunny places, avoid strong sunlight in summer at noon"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly when soil is dry, reduce watering in winter"",""fertilization"":""Dilute fertilizers following instructions, apply 1-2 times monthly, except flowering stages""}"
"{""production"":""China"",""category"":""Solanaceae, Datura"",""origin"":""India"",""floral_language"":""Datura stramonium \nFloriography: wise, graceful, fortunate\nDatura stramonium has funnel-shaped flowers, like morning glory.\nStout upright stems and broadly ovate leaves with wavy and toothed edges, huge flowers, funnel-shaped or trumpet-shaped in rich colors such as blue, purple, white, pink, etc. Datura stramonium has medical values, but may be fatally toxic.\nDatura stramonium likes adequate sunlight. Flowering from May to September for 2-3 weeks."",""color"":""Flower color purple, pink, white"",""blooming"":""Flowering period May-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/ZGF0dXJhIHN0cmFtb25pdW0uanBn?imageView2/1/w/%d/h/%d","datura stramonium","{""min_light_lux"":3000,""min_temp"":8,""max_temp"":35,""max_soil_moist"":60,""max_soil_ec"":2000,""max_light_lux"":60000,""min_env_humid"":30,""min_soil_ec"":350,""min_soil_moist"":15,""max_env_humid"":80,""max_light_mmol"":6000,""min_light_mmol"":4000}","Datura stramonium","{""watering"":""Water thoroughly when soil is dry, reduce watering in winter"",""sunlight"":""Likes sunshine, put in sunny places, avoid strong sunlight in summer at noon"",""pruning"":""Remove old, diseased and dead leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions, apply 1-2 times monthly, except flowering stages""}"
"{""color"":""Flower color pink"",""production"":""China"",""origin"":""China"",""floral_language"":""Chimonanthus praecox \nFloriography: pride, strong and faithful \nChimonanthus praecox blossom proudly in the snow, with orchid, bamboo, and chrysanthemum together referred to as the \""four gentlemen\"" in the flower, has been named as the city flower of Wuhan. \nChimonanthus praecox plant strong firm and pretty. Leaf blade elliptic, flowers are delicate and cabinet. Color is various, petals of 5 single and double. The fragrance of plum blossom is from bitter cold, a symbol of the Chinese nation strong spiritual quality. \nChimonanthus praecox blossom like the sunshine, summer noon light should be covered. Because of the north-south differences, flowering in December to April of next year, with the ornamental period 1 to 2 weeks."",""blooming"":""Flowering period November-March, viewing period 1-2 weeks"",""category"":""Calycanthaceae, Chimonanthus""}","http://pkb.resource.huahuacaocao.com/ZGVsbGEgd2hpdGUgcGluay5qcGc=?imageView2/1/w/%d/h/%d","della white pink","{""max_soil_ec"":2000,""min_env_humid"":30,""max_soil_moist"":60,""min_temp"":5,""min_soil_ec"":350,""min_light_lux"":3000,""min_soil_moist"":15,""max_temp"":32,""min_light_mmol"":3000,""max_light_mmol"":6000,""max_env_humid"":80,""max_light_lux"":50000}","Della white pink","{""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions, top-dressing before and after flowering and defoliation"",""watering"":""Moderately resistant to drought, water thoroughly when soil is dry"",""sunlight"":""Likes sunshine, shade properly under summer strong light"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""color"":""Flower color blue"",""production"":""China"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""category"":""Scrophulariaceae, Penstemon"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgYmx1ZS5qcGc=?imageView2/1/w/%d/h/%d","delphinium aurora f1 blue","{""min_light_mmol"":3500,""max_soil_moist"":60,""max_env_humid"":80,""max_temp"":35,""min_soil_ec"":350,""min_temp"":5,""min_soil_moist"":15,""max_light_mmol"":5000,""max_soil_ec"":2000,""max_light_lux"":50000,""min_env_humid"":30,""min_light_lux"":3000}","Delphinium Aurora F1 blue","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries""}"
"{""category"":""Scrophulariaceae, Penstemon"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""production"":""China"",""color"":""Flower color deep purple"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgZGVlcCBwdXJwbGUuanBn?imageView2/1/w/%d/h/%d","delphinium aurora f1 deep purple","{""max_temp"":35,""max_soil_moist"":60,""max_env_humid"":80,""min_env_humid"":30,""min_light_mmol"":3500,""max_soil_ec"":2000,""max_light_lux"":50000,""max_light_mmol"":5000,""min_soil_ec"":350,""min_light_lux"":3000,""min_soil_moist"":15,""min_temp"":5}","Delphinium Aurora F1 Deep Purple","{""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring""}"
"{""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""production"":""China"",""origin"":""Europe"",""color"":""Flower color lilac"",""category"":""Scrophulariaceae, Penstemon""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgbGF2ZW5kZXIuanBn?imageView2/1/w/%d/h/%d","delphinium aurora f1 lavender","{""min_soil_moist"":15,""min_light_mmol"":3500,""max_temp"":35,""min_env_humid"":30,""max_soil_moist"":60,""min_temp"":5,""min_soil_ec"":350,""min_light_lux"":3000,""max_env_humid"":80,""max_soil_ec"":2000,""max_light_mmol"":5000,""max_light_lux"":50000}","Delphinium Aurora F1 Lavender","{""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""watering"":""Water thoroughly after soil surface dries""}"
"{""color"":""Flower color light blue"",""category"":""Scrophulariaceae, Penstemon"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""production"":""China"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgbGlnaHQgYmx1ZS5qcGc=?imageView2/1/w/%d/h/%d","delphinium aurora f1 light blue","{""min_soil_moist"":15,""max_soil_moist"":60,""max_light_mmol"":5000,""min_temp"":5,""max_soil_ec"":2000,""max_env_humid"":80,""max_temp"":35,""min_light_mmol"":3500,""min_env_humid"":30,""min_light_lux"":3000,""min_soil_ec"":350,""max_light_lux"":50000}","Delphinium Aurora F1 Light Blue","{""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients""}"
"{""color"":""Flower color pink"",""production"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""origin"":""Europe"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""category"":""Scrophulariaceae, Penstemon""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgbWF1dmUuanBn?imageView2/1/w/%d/h/%d","delphinium aurora f1 mauve","{""min_temp"":5,""min_light_mmol"":3500,""max_soil_moist"":60,""min_env_humid"":30,""min_light_lux"":3000,""max_temp"":35,""min_soil_ec"":350,""max_light_lux"":50000,""max_env_humid"":80,""max_soil_ec"":2000,""max_light_mmol"":5000,""min_soil_moist"":15}","Delphinium Aurora F1 Mauve","{""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat or soil with specific nutrients""}"
"{""production"":""China"",""color"":""Flower color white"",""category"":""Scrophulariaceae, Penstemon"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""origin"":""Europe""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBhdXJvcmEgZjEgd2hpdGUuanBn?imageView2/1/w/%d/h/%d","delphinium aurora f1 white","{""max_temp"":35,""max_light_lux"":50000,""max_soil_moist"":60,""max_light_mmol"":5000,""min_soil_moist"":15,""min_light_mmol"":3500,""min_light_lux"":3000,""max_env_humid"":80,""min_env_humid"":30,""min_temp"":5,""max_soil_ec"":2000,""min_soil_ec"":350}","Delphinium Aurora F1 White","{""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""watering"":""Water thoroughly after soil surface dries"",""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""color"":""Flower color blue"",""category"":""Scrophulariaceae, Penstemon"",""origin"":""Europe"",""floral_language"":""Delphinium x 'Black Knight'\nFloriography: elegant, plain, beautiful.\nThe plant is an annual flowering herbaceous. It is very popular because of its plant profile, unique flower shape and various flower colors. Garden uses include flower beds, edges and family pots.\nThis plant likes sunny habitat. It is partial shade tolerant during growth but requires sunlight during flowering. It blooms in June to September for two to three weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/ZGVscGhpbml1bSBjZW50dXJpb24gZjEgZ2VudGlhbiBibHVlLmpwZw==?imageView2/1/w/%d/h/%d","delphinium centurion f1 gentian blue","{""max_light_mmol"":5000,""min_soil_ec"":350,""min_soil_moist"":15,""min_light_lux"":3000,""max_env_humid"":80,""max_soil_ec"":2000,""min_env_humid"":30,""min_light_mmol"":3500,""min_temp"":5,""max_temp"":35,""max_light_lux"":50000,""max_soil_moist"":60}","Delphinium Centurion F1 Gentian Blue","{""sunlight"":""Likes light, half shade when growing, need adequate sunshine when flowering"",""soil"":""Peat or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
